演算チャンネル,(1)CA-CH01:Channel01
窓関数,長方形
演算点数,100000
演算モード,リニアスペクトル
微積分設定,微積分しない
演算範囲,最新データ
オーバーオール(dBrms),16.869
,0dB=1m/s^2
周波数(Hz),データ(dB)
121.8,-57.2865
121.9,-57.5631
122,-57.4422
122.1,-57.8857
122.2,-57.6431
122.3,-57.6516
122.4,-57.4083
122.5,-57.469
122.6,-57.9582
122.7,-57.5602
122.8,-57.548
122.9,-57.4194
123,-57.6134
123.1,-57.7322
123.2,-57.6768
123.3,-57.2886
123.4,-57.7731
123.5,-57.342
123.6,-57.9082
123.7,-57.6368
123.8,-57.4773
123.9,-57.5073
124,-57.4788
124.1,-57.5234
124.2,-57.8064
124.3,-57.4885
124.4,-57.5739
124.5,-57.1956
124.6,-57.6392
124.7,-57.8007
124.8,-57.7566
124.9,-57.6398
125,-57.3423
125.1,-57.5672
125.2,-57.5252
125.3,-57.8085
125.4,-57.7895
125.5,-57.44
125.6,-57.3618
125.7,-57.5665
125.8,-57.8772
125.9,-57.8562
126,-57.4507
126.1,-57.1941
126.2,-57.573
126.3,-57.5542
126.4,-57.703
126.5,-57.5686
126.6,-57.392
126.7,-57.3314
126.8,-57.7157
126.9,-57.6707
127,-57.4294
127.1,-57.6889
127.2,-57.3858
127.3,-57.8133
127.4,-57.7969
127.5,-57.7407
127.6,-57.3701
127.7,-57.2441
127.8,-57.3853
127.9,-57.944
128,-57.6813
128.1,-57.5171
128.2,-57.3116
128.3,-57.4463
128.4,-57.6113
128.5,-57.6764
128.6,-57.6499
128.7,-57.3967
128.8,-57.3524
128.9,-57.4586
129,-57.7711
129.1,-57.5908
129.2,-57.4455
129.3,-57.5823
129.4,-57.2376
129.5,-57.5267
129.6,-57.5929
129.7,-57.4466
129.8,-57.235
129.9,-57.2881
130,-57.5794
130.1,-57.6369
130.2,-57.472
130.3,-57.3651
130.4,-57.2715
130.5,-57.4158
130.6,-57.4786
130.7,-57.5695
130.8,-57.3614
130.9,-57.2626
131,-57.3941
131.1,-57.3809
131.2,-57.5863
131.3,-57.5014
131.4,-57.2867
131.5,-57.2773
131.6,-56.3197
131.7,-58.1621
131.8,-58.1679
131.9,-57.3387
132,-57.8264
132.1,-57.5018
132.2,-57.7034
132.3,-57.7542
132.4,-57.5104
132.5,-57.1346
132.6,-57.461
132.7,-57.606
132.8,-57.7161
132.9,-57.392
133,-57.1652
133.1,-57.3682
133.2,-57.65
133.3,-57.8092
133.4,-57.8178
133.5,-57.6266
133.6,-57.3221
133.7,-57.5274
133.8,-57.7448
133.9,-57.9505
134,-57.3778
134.1,-57.3348
134.2,-57.3816
134.3,-57.6383
134.4,-57.6499
134.5,-57.8303
134.6,-57.0863
134.7,-57.1027
134.8,-57.6374
134.9,-57.7574
135,-57.7635
135.1,-57.1095
135.2,-57.3489
135.3,-57.4152
135.4,-57.624
135.5,-57.4011
135.6,-57.3466
135.7,-57.4295
135.8,-57.2899
135.9,-57.32
136,-57.545
136.1,-57.7338
136.2,-57.5167
136.3,-57.1825
136.4,-57.3758
136.5,-57.7641
136.6,-57.6237
136.7,-57.448
136.8,-57.029
136.9,-57.622
137,-57.8719
137.1,-57.7965
137.2,-57.4076
137.3,-57.2774
137.4,-57.1847
137.5,-57.6661
137.6,-57.8808
137.7,-57.3973
137.8,-57.5115
137.9,-57.1475
138,-57.9638
138.1,-57.617
138.2,-57.5684
138.3,-57.3276
